#RIC,Date[L],Price,Volume,Value,Signal
CBA.AX,07-01-2000,25.1,100.0,2510.0,S
CBA.AX,10-01-2000,25.7,100.0,2570.0,B
CBA.AX,13-01-2000,25.25,100.0,2525.0,S
CBA.AX,14-01-2000,25.583,100.0,2558.3,B
CBA.AX,19-01-2000,25.3,100.0,2530.0,S
CBA.AX,24-01-2000,25.6,100.0,2560.0,B
CBA.AX,25-01-2000,25.45,100.0,2545.0,S
CBA.AX,27-01-2000,25.87,100.0,2587.0,B
CBA.AX,28-01-2000,26.26,100.0,2626.0,S
CBA.AX,31-01-2000,26.1,100.0,2610.0,B
CBA.AX,01-02-2000,25.666,100.0,2566.6,S
CBA.AX,04-02-2000,25.56,100.0,2556.0,B
CBA.AX,10-02-2000,26.147,100.0,2614.7,S
CBA.AX,11-02-2000,26.506,100.0,2650.6,B
CBA.AX,16-02-2000,26.88,100.0,2688.0,S
CBA.AX,21-02-2000,25.81,100.0,2581.0,B
CBA.AX,24-02-2000,26.008,100.0,2600.8,S
CBA.AX,28-02-2000,25.235,100.0,2523.5,B
CBA.AX,02-03-2000,25.65,100.0,2565.0,S
CBA.AX,06-03-2000,25.0,100.0,2500.0,B
CBA.AX,10-03-2000,23.0,100.0,2300.0,S
CBA.AX,14-03-2000,23.1,100.0,2310.0,B
CBA.AX,16-03-2000,23.303,100.0,2330.3,S
CBA.AX,20-03-2000,22.99,100.0,2299.0,B
CBA.AX,23-03-2000,22.55,100.0,2255.0,S
CBA.AX,24-03-2000,22.629,100.0,2262.9,B
CBA.AX,30-03-2000,22.656,100.0,2265.6,S
CBA.AX,03-04-2000,23.002,100.0,2300.2,B
CBA.AX,06-04-2000,24.08,100.0,2408.0,S
CBA.AX,10-04-2000,23.45,100.0,2345.0,B
CBA.AX,13-04-2000,24.97,100.0,2497.0,S
CBA.AX,17-04-2000,24.895,100.0,2489.5,B
CBA.AX,19-04-2000,26.15,100.0,2615.0,S
CBA.AX,26-04-2000,26.6,100.0,2660.0,B
CBA.AX,27-04-2000,26.51,100.0,2651.0,S
CBA.AX,05-05-2000,26.302,100.0,2630.2,B
CBA.AX,10-05-2000,27.287,100.0,2728.7,S
CBA.AX,15-05-2000,26.75,100.0,2675.0,B
CBA.AX,18-05-2000,27.35,100.0,2735.0,S
CBA.AX,19-05-2000,27.744,100.0,2774.4,B
CBA.AX,23-05-2000,27.891,100.0,2789.1,S
CBA.AX,29-05-2000,27.95,100.0,2795.0,B
CBA.AX,01-06-2000,27.129,100.0,2712.9,S
CBA.AX,05-06-2000,27.14,100.0,2714.0,B
CBA.AX,08-06-2000,26.95,100.0,2695.0,S
CBA.AX,13-06-2000,26.54,100.0,2654.0,B
CBA.AX,16-06-2000,26.8,100.0,2680.0,S
CBA.AX,19-06-2000,26.6,100.0,2660.0,B
CBA.AX,22-06-2000,26.58,100.0,2658.0,S
CBA.AX,26-06-2000,27.15,100.0,2715.0,B
CBA.AX,29-06-2000,27.3,100.0,2730.0,S
CBA.AX,03-07-2000,27.19,100.0,2719.0,B
CBA.AX,06-07-2000,27.36,100.0,2736.0,S
CBA.AX,10-07-2000,27.5,100.0,2750.0,B
CBA.AX,13-07-2000,27.75,100.0,2775.0,S
CBA.AX,17-07-2000,27.85,100.0,2785.0,B
CBA.AX,20-07-2000,27.852,100.0,2785.2,S
CBA.AX,24-07-2000,27.99,100.0,2799.0,B
CBA.AX,27-07-2000,27.97,100.0,2797.0,S
CBA.AX,31-07-2000,27.796,100.0,2779.6,B
CBA.AX,03-08-2000,27.73,100.0,2773.0,S
CBA.AX,07-08-2000,27.85,100.0,2785.0,B
CBA.AX,10-08-2000,28.065,100.0,2806.5,S
CBA.AX,14-08-2000,27.91,100.0,2791.0,B
CBA.AX,17-08-2000,28.155,100.0,2815.5,S
CBA.AX,21-08-2000,28.1,100.0,2810.0,B
CBA.AX,24-08-2000,29.4,100.0,2940.0,S
CBA.AX,28-08-2000,29.65,100.0,2965.0,B
CBA.AX,29-08-2000,29.55,100.0,2955.0,S
CBA.AX,01-09-2000,27.9,100.0,2790.0,B
CBA.AX,06-09-2000,26.76,100.0,2676.0,S
CBA.AX,08-09-2000,27.109,100.0,2710.9,B
CBA.AX,14-09-2000,27.492,100.0,2749.2,S
CBA.AX,18-09-2000,26.5,100.0,2650.0,B
CBA.AX,21-09-2000,26.97,100.0,2697.0,S
CBA.AX,25-09-2000,26.969,100.0,2696.9,B
CBA.AX,28-09-2000,27.45,100.0,2745.0,S
